Epoch,Train_Loss,Val_Loss,Val_mIoU,Val_Pixel_Acc,mAcc
1,4.374634265516963,N/A,N/A,N/A,
2,3.5535787644393944,N/A,N/A,N/A,
3,3.267453246476371,N/A,N/A,N/A,
4,3.1644531823276134,N/A,N/A,N/A,
5,3.100402376433628,2.7644566779726008,20.09126091003418,63.0291633605957,31.974592208862305
6,3.0264730545337857,N/A,N/A,N/A,
7,2.9298250462806052,N/A,N/A,N/A,
8,2.889874412772361,N/A,N/A,N/A,
9,2.8162455449708967,N/A,N/A,N/A,
10,2.802050886146521,2.5969940781146845,22.89468002319336,63.720191955566406,35.130130767822266
11,2.7511881126829363,N/A,N/A,N/A,
12,2.7257068409774314,N/A,N/A,N/A,
13,2.6878215933688,N/A,N/A,N/A,
14,2.6614616655805903,N/A,N/A,N/A,
15,2.6250354294600875,2.489423587081138,25.10170555114746,65.02597045898438,39.195526123046875
16,2.6114204295374224,N/A,N/A,N/A,
17,2.572985942635452,N/A,N/A,N/A,
18,2.5625606683437168,N/A,N/A,N/A,
19,2.558657533858408,N/A,N/A,N/A,
20,2.5245309880610263,2.4361850773350575,27.287578582763672,67.67623138427734,41.40612030029297
21,2.4935528812974836,N/A,N/A,N/A,
22,2.487264071000713,N/A,N/A,N/A,
23,2.4678257502866594,N/A,N/A,N/A,
24,2.4700514701932046,N/A,N/A,N/A,
25,2.425007872941215,2.435865576794085,28.123226165771484,67.62442779541016,42.301239013671875
26,2.3903671392085655,N/A,N/A,N/A,
27,2.3860527296127514,N/A,N/A,N/A,
28,2.3856842420265725,N/A,N/A,N/A,
29,2.3579490316813487,N/A,N/A,N/A,
30,2.3756711603550427,2.3697745438372153,28.97617530822754,68.54175567626953,43.521217346191406
31,2.332761958552402,N/A,N/A,N/A,
32,2.337647043300096,N/A,N/A,N/A,
33,2.3178181053164684,N/A,N/A,N/A,
34,2.283326387596743,N/A,N/A,N/A,
35,2.2746617413255987,2.3802748891744723,28.945817947387695,68.20698547363281,44.191436767578125
36,2.258493609068673,N/A,N/A,N/A,
37,2.2717772634224564,N/A,N/A,N/A,
38,2.2403942268120534,N/A,N/A,N/A,
39,2.235797462455725,N/A,N/A,N/A,
40,2.2067146263000095,2.368967825553837,30.119171142578125,68.72489929199219,45.34922409057617
41,2.198256515767754,N/A,N/A,N/A,
42,2.1771099173238153,N/A,N/A,N/A,
43,2.179264630016125,N/A,N/A,N/A,
44,2.183059465636411,N/A,N/A,N/A,
45,2.15099236995795,2.382010903251305,29.687604904174805,66.9131851196289,45.71994400024414
46,2.172654653054753,N/A,N/A,N/A,
47,2.129347079638302,N/A,N/A,N/A,
48,2.1349257167614097,N/A,N/A,N/A,
49,2.117129363944787,N/A,N/A,N/A,
50,2.1148151926588667,2.3433423586998985,30.68461036682129,68.07865905761719,45.73389434814453
51,2.1400568343663102,N/A,N/A,N/A,
52,2.1431907853575045,N/A,N/A,N/A,
53,2.084137555110129,N/A,N/A,N/A,
54,2.0938268844426924,N/A,N/A,N/A,
55,2.091341286562802,2.3352375789528037,30.51210594177246,69.00930786132812,47.43179702758789
56,2.0574552467508456,N/A,N/A,N/A,
57,2.0585576739778104,N/A,N/A,N/A,
58,2.07494485473939,N/A,N/A,N/A,
59,2.0440877052218345,N/A,N/A,N/A,
60,2.033135296827717,2.331729965263538,31.2222957611084,68.86215209960938,46.599857330322266
61,1.9978484426225935,N/A,N/A,N/A,
62,2.039850230010325,N/A,N/A,N/A,
63,2.0174349626798307,N/A,N/A,N/A,
64,1.9899722033480771,N/A,N/A,N/A,
65,1.978740020318743,2.3274558889731933,32.72128677368164,71.03096771240234,46.45354461669922
66,1.9786002978467252,N/A,N/A,N/A,
67,1.9762154388963507,N/A,N/A,N/A,
68,1.9693700846278648,N/A,N/A,N/A,
69,1.939082774840427,N/A,N/A,N/A,
70,1.954670422149891,2.3056529148687583,32.889957427978516,70.05503845214844,47.33134460449219
71,1.9666472250538882,N/A,N/A,N/A,
72,1.9519282765028756,N/A,N/A,N/A,
73,1.9581980797107874,N/A,N/A,N/A,
74,1.9151389061160875,N/A,N/A,N/A,
75,1.93743933931017,2.31489152854748,32.89088439941406,70.04632568359375,48.11098861694336
76,1.904431538252731,N/A,N/A,N/A,
77,1.8882988184259943,N/A,N/A,N/A,
78,1.889472491285774,N/A,N/A,N/A,
79,1.892410679766684,N/A,N/A,N/A,
80,1.863805134453322,2.3086950515539906,32.870018005371094,69.97034454345703,48.57147216796875
81,1.8804012414540372,N/A,N/A,N/A,
82,1.8633972609215335,N/A,N/A,N/A,
83,1.864500984525604,N/A,N/A,N/A,
84,1.852730944680938,N/A,N/A,N/A,
85,1.8652759472784224,2.3121910282735074,32.728057861328125,70.43466186523438,48.256839752197266
86,1.8349703762734109,N/A,N/A,N/A,
87,1.829824471932927,N/A,N/A,N/A,
88,1.8507729717089314,N/A,N/A,N/A,
89,1.8251182422592016,N/A,N/A,N/A,
90,1.8230215018289238,2.3099822426556647,33.040348052978516,70.62496185302734,49.23008728027344
91,1.8093036874339439,N/A,N/A,N/A,
92,1.8136619999167625,N/A,N/A,N/A,
93,1.8086824579759355,N/A,N/A,N/A,
94,1.8104801520489957,N/A,N/A,N/A,
95,1.794936003309957,2.3443854632002585,33.089691162109375,70.3416976928711,48.29328536987305
96,1.791928838573719,N/A,N/A,N/A,
97,1.7910295678945451,N/A,N/A,N/A,
98,1.7795711319481007,N/A,N/A,N/A,
99,1.7736963274773587,N/A,N/A,N/A,
100,1.7622506559182132,2.3494102740555665,33.17783737182617,70.54851531982422,47.256690979003906
101,1.7621136327807823,N/A,N/A,N/A,
102,1.7697186049067954,N/A,N/A,N/A,
103,1.7665284192772586,N/A,N/A,N/A,
104,1.7457299831399566,N/A,N/A,N/A,
105,1.726046555306326,2.321208243512929,33.483131408691406,71.17613983154297,48.54752731323242
106,1.728273796996948,N/A,N/A,N/A,
107,1.7398428340976158,N/A,N/A,N/A,
108,1.707369035549378,N/A,N/A,N/A,
109,1.7210836129242115,N/A,N/A,N/A,
110,1.7130230010799574,2.342418064785361,33.47013473510742,70.3246078491211,49.03820037841797
111,1.695972901477477,N/A,N/A,N/A,
112,1.7025540366792755,N/A,N/A,N/A,
113,1.7010309464667428,N/A,N/A,N/A,
114,1.703788922265483,N/A,N/A,N/A,
115,1.7238186377774847,2.3872296296701894,33.61558151245117,71.01514434814453,48.29277038574219
116,1.6774238369055392,N/A,N/A,N/A,
117,1.6776896131555303,N/A,N/A,N/A,
118,1.6804665057272627,N/A,N/A,N/A,
119,1.6776644992216059,N/A,N/A,N/A,
120,1.6646286805981043,2.3426924555489186,33.85968017578125,71.7068099975586,48.421295166015625
121,1.6848311022426306,N/A,N/A,N/A,
122,1.6679009643067901,N/A,N/A,N/A,
123,1.6606509075118872,N/A,N/A,N/A,
124,1.638480382593256,N/A,N/A,N/A,
125,1.6585667621266593,2.3667415023296514,33.05091094970703,71.210205078125,48.57624816894531
126,1.637910738802645,N/A,N/A,N/A,
127,1.6591794663026667,N/A,N/A,N/A,
128,1.6455583865148873,N/A,N/A,N/A,
129,1.6239770941711353,N/A,N/A,N/A,
130,1.6386019332068307,2.3667630332239558,33.62199401855469,71.10948944091797,48.6422119140625
131,1.6369785204362333,N/A,N/A,N/A,
132,1.6517017274186088,N/A,N/A,N/A,
133,1.6413053230144814,N/A,N/A,N/A,
134,1.621688781733689,N/A,N/A,N/A,
135,1.6147309327393435,2.3597114612993675,33.170230865478516,70.79170227050781,48.967037200927734
136,1.6066298383388244,N/A,N/A,N/A,
137,1.5992252979768413,N/A,N/A,N/A,
138,1.6209301085571608,N/A,N/A,N/A,
139,1.6259051333652454,N/A,N/A,N/A,
140,1.607753091983581,2.3688770836212214,33.72687530517578,71.317138671875,48.57326126098633
141,1.5972370106374087,N/A,N/A,N/A,
142,1.6066248053341003,N/A,N/A,N/A,
143,1.5846148034734098,N/A,N/A,N/A,
144,1.5773044015201674,N/A,N/A,N/A,
145,1.5790450469640056,2.400225758999028,33.65367126464844,70.80314636230469,48.260597229003906
146,1.5978881224009236,N/A,N/A,N/A,
147,1.5837628028174655,N/A,N/A,N/A,
148,1.5973880319687184,N/A,N/A,N/A,
149,1.5720501213930966,N/A,N/A,N/A,
150,1.57043490957104,2.368988578239184,33.87138748168945,71.8002700805664,48.86900329589844
151,1.546739726349783,N/A,N/A,N/A,
152,1.5607183850213382,N/A,N/A,N/A,
153,1.5599879091471003,N/A,N/A,N/A,
154,1.5577034969391066,N/A,N/A,N/A,
155,1.5726410077816029,2.3855261824997176,33.739810943603516,71.47740173339844,49.1172981262207
156,1.5720071612736195,N/A,N/A,N/A,
157,1.5542787453144742,N/A,N/A,N/A,
158,1.5586563216740592,N/A,N/A,N/A,
159,1.5544941622411075,N/A,N/A,N/A,
160,1.545197110880244,2.3842115781726907,33.70728302001953,70.66924285888672,48.76679611206055
161,1.5540643438672943,N/A,N/A,N/A,
162,1.5593774684168171,N/A,N/A,N/A,
163,1.5528663272459664,N/A,N/A,N/A,
164,1.5462287543864732,N/A,N/A,N/A,
165,1.5394186946783173,2.377096828449978,34.12932205200195,71.5483169555664,48.71255111694336
166,1.5302218537460743,N/A,N/A,N/A,
167,1.515748269676588,N/A,N/A,N/A,
168,1.5534963468104648,N/A,N/A,N/A,
169,1.5587675106468017,N/A,N/A,N/A,
170,0.41662176063412837,0.5193488587824147,34.9822998046875,73.2906494140625,48.13212585449219
171,0.40647885940048134,0.5175717368108056,34.951263427734375,73.23468017578125,48.207908630371094
172,0.405147985891584,0.5150291706515608,35.17279052734375,73.39752197265625,48.15194320678711
173,0.40311123234598056,0.5123443791035855,35.21451950073242,73.3834457397461,48.76598358154297
174,0.401332348537292,0.5140166347392936,35.089599609375,73.35127258300781,48.38578796386719
175,0.4054932201320057,0.5124170827061942,35.263282775878906,73.4345703125,48.55110549926758
176,0.40643894318401524,0.5139308144314012,35.103729248046875,73.21125030517578,48.48997497558594
177,0.40551202699996497,0.51220968812146,35.17414474487305,73.3390121459961,48.54261779785156
178,0.40463507187404757,0.5136545905459686,35.10503005981445,73.24839782714844,48.49650573730469
179,0.40326622102176396,0.5113678695110793,35.2195930480957,73.51007843017578,48.484031677246094
180,0.4082730163492705,0.5141257335630696,34.986053466796875,73.0704345703125,48.340919494628906
